user_input,response
hello,Hi there! How can I help you today?
hi,Hello! What can I do for you?
hey,Hey! Nice to see you again.
how are you,I'm just a program, but I'm doing great! Thanks for asking.
what is your name,I'm ChatRule, your friendly AI assistant.
who created you,I was created by a student learning rule-based AI!
bye,Goodbye! Have a great day!
see you,See you later!
thank you,You're welcome!
thanks,Happy to help!
help,Of course! What do you need help with?
weather,I'm not connected to the weather service, but it looks nice outside!
time,Sorry, I can’t tell the time right now.
joke,Sure! Why did the computer catch a cold? It had a bad connection!
good morning,Good morning! Hope you have a great start to your day!
good night,Sweet dreams! Talk to you later.
